标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,楼层数,建筑
地铁五号线文艺路 金色城市小区精装小两室 诚心出售,金色城市 ,南稍门,99,"15,537",2室1厅,63.72平米,南,其他,中,33,塔楼
南门外 二室明厨明卫  双气好房有钥匙随时可看,中贸广场 ,南稍门,118,"14,228",2室1厅,82.94平米,东北,精装,低,33,板塔结合
地铁口 精装两室 低楼层 采光好,华豪丽晶 ,黄雁村,160,"18,016",2室2厅,88.81平米,东南,其他,低,33,板塔结合
建苑家园 南北3室 楼层低 看房方便 诚心出售 有钥匙,建苑家园 ,黄雁村,150,"15,160",3室2厅,98.95平米,南 北,简装,7,7,板楼
翡翠明珠  南稍门地铁口  三室诚心出售,翡翠明珠 ,南稍门,169,"12,693",3室2厅,133.15平米,西南,其他,高,33,塔楼
南稍门地铁口   一室开间 朝南  小雁塔   太古里,翡翠明珠 ,南稍门,83,"15,497",1室0厅,53.56平米,南,其他,中,30,板塔结合
南稍门  精装2室  业主诚心出售,佳和苑 ,南稍门,75,"8,819",2室2厅,85.05平米,南 北,精装,高,7,板塔结合
户型方正好房子业主诚心出售看房方便,建行家属院（城南） ,黄雁村,128,"9,531",3室2厅,134.31平米,南 北,简装,7,7,板楼
兴庆公园旁 经九路 交大 业主诚心出售 有证可按揭,凯悦家属院 ,城东,124,"10,315",2室2厅,120.22平米,南 北,简装,中,5,板楼
双地铁口 李家村万达广场 1室双气入户 诚心出售,李家村万达广场 ,李家村,50,"11,006",1室1厅,45.43平米,北,其他,中,30,板塔结合
公摊小 南北朝向 业主诚心出售 随时签约,西安市中医院家属院 ,城内,55,"7,968",2室2厅,69.03平米,东南,其他,中,5,暂无数据
南门外地铁小户型一室好房  双气房  有证可按揭,南门国际 ,南稍门,90,"12,756",1室1厅,70.56平米,东南,其他,中,31,塔楼
李家村万达 地铁四五号线 双地铁 双气 繁华地段 急售,李家村万达广场 ,李家村,54,"11,626",1室1厅,46.45平米,西,其他,中,29,板塔结合
文艺路十字  四五号双地铁口 泰华世纪新城  可按揭,泰华世纪新城1期 ,李家村,95,"11,816",2室1厅,80.4平米,北,其他,高,25,板塔结合
草场坡大两室 产权清晰 交通便利 配套齐全 诚心出售,景致雅居 ,南稍门,130,"12,227",2室2厅,106.33平米,东,其他,中,24,板楼
太乙路丽苑小区，两室朝南采光好 双卫，可按揭,丽苑小区 ,李家村,99,"9,446",2室1厅,104.81平米,南,其他,高,25,塔楼
南稍门地铁口 摩登主场 一级物业 园林小区 三室两卫,摩登主场 ,南稍门,165,"16,070",3室2厅,102.68平米,西 北,精装,高,23,板塔结合
小区安静，双气，经典两室户型，纯南朝向，产权清晰，,华陆经九路小区 ,城东,69,"8,766",3室1厅,78.72平米,南 北,毛坯,高,6,板楼
科技大学地铁口旁 花园小区两居室出售 可按揭！,新旅城 ,李家村,145,"16,394",2室2厅,88.45平米,东南,其他,中,32,板塔结合
黄雁村地铁口   省人民医院   小雁塔,华豪丽晶 ,黄雁村,240,"21,995",3室1厅,109.12平米,南 北,其他,中,33,板塔结合
精装两室好房通双气70产权户型方正,李家村万达广场 ,李家村,100,"11,819",2室1厅,84.61平米,南,其他,高,30,板塔结合
南门外  南门国际标准一室一厅  户型方正随时可看,南门国际 ,南稍门,73,"14,736",1室1厅,49.54平米,西,精装,高,31,塔楼
满三满二标准三室 视野好没遮挡,太白馨苑小区 ,黄雁村,120,"13,756",3室0厅,87.24平米,西南 南 北,其他,7,7,板塔结合
二环内 10年新小区 交通便利  朝南 采光视野好,南门望城 ,南稍门,137,"13,203",3室1厅,103.77平米,南,简装,中,32,塔楼
摩登主场 满二 看房约租客 市政地暖,摩登主场 ,南稍门,72,"14,608",1室2厅,49.29平米,西,简装,中,18,板塔结合
省体育场朱雀花园一梯两户小高层 公摊小,朱雀花园 ,黄雁村,234,"14,077",3室2厅,166.23平米,东南,其他,低,14,板塔结合
精装两室 东泰城市之光 大南 可按揭 随时看房,东泰城市之光南区 ,黄雁村,205,"22,883",2室2厅,89.59平米,西南,其他,高,32,塔楼
"南门地铁口，单位家属院，2室刚需,南北户型",服务公司家属院 ,南稍门,55,"8,174",2室1厅,67.29平米,南,其他,高,6,板楼
体育场精装两室 地铁口 音乐学院省体旁 有证可按揭,长安大街3号 ,南稍门,123,"14,657",2室2厅,83.92平米,东南,其他,中,32,板塔结合
体育场大三室 南北通透 采光好视野好无遮挡,长安大街3号 ,南稍门,198,"16,702",3室2厅,118.55平米,南 北,其他,中,33,板塔结合
东泰城市之光北区稀有四室，一手业主没用过。,东泰城市之光北区 ,黄雁村,375,"28,581",4室2厅,131.21平米,南 北,精装,低,33,板塔结合
南郭路建行家属院 2室1厅 南 北,南郭路建行家属院 ,南稍门,77,"9,809",2室1厅,78.5平米,南 北,其他,高,6,板楼
李家村万达地铁四五号线 格局好 繁华地段 有证急售,李家村万达广场 ,李家村,165,"10,907",1室1厅,151.28平米,东,精装,高,27,板塔结合
南门外户型方正小两室适合年轻人,中贸广场 ,南稍门,95,"15,293",2室1厅,62.12平米,南,精装,低,27,板塔结合
2012年建成，三区交汇，配套完善，地铁置业，可按揭,海星未来城 ,城西,208,"14,551",3室2厅,142.95平米,南,其他,低,30,板楼
南门外2号线地铁口南北通透带双气已改造,东新村小区 ,南稍门,95,"9,520",3室2厅,99.79平米,南 北,其他,高,7,板楼
李家村十字万达广场 租住皆宜 随时签合同,李家村万达广场 ,李家村,55,"10,451",1室1厅,52.63平米,北 东,其他,高,30,板塔结合
城墙内书院门南门钟楼 三室 120平 6楼 总高7楼,卧龙小区 ,城内,107.5,"8,911",3室2厅,120.64平米,南 北,精装,高,7,平房
文艺南路 单位家属院  满三满二 可按揭,文南小区 ,南稍门,80,"8,947",2室2厅,89.42平米,南,简装,中,7,塔楼
院部小区 2室0厅 东南,院部小区 ,李家村,49,"9,992",2室0厅,49.04平米,东南,简装,中,5,板楼
中铁一局太乙路东院小区 社区大 闹中取静,中铁一局集团太乙路东院小区 ,城东,75,"13,993",2室1厅,53.6平米,南 北,其他,高,6,暂无数据
永乐路 兴庆路 电力高等学院家属院 5楼 3室双气可停车,西安电力高等专科学校住宅区 ,城东,76,"8,710",3室2厅,87.26平米,南 北,其他,中,7,板楼
两房钟楼旁7楼简装东西通透小两房诚心出售,大车家巷12号小区 ,城内,35,"6,780",2室1厅,51.63平米,西 东,毛坯,高,7,板楼
园林社区.精装三室，诚心出售，满三满二，,九锦台 ,黄雁村,370,"22,437",3室2厅,164.91平米,南 北,其他,高,18,板楼
满5 钟楼小区 电梯房 诚心出售 单位家属院 双气,钟楼小区 ,城内,119,"9,427",2室2厅,126.24平米,南 北,简装,高,12,板塔结合
南稍门地铁口《翡翠明珠》三室两厅两卫有证可按揭,翡翠明珠 ,南稍门,200,"15,585",3室2厅,128.33平米,西北,精装,中,33,板塔结合
九锦台 1室1厅 南,九锦台 ,黄雁村,251,"59,004",1室1厅,42.54平米,南,其他,低,3,板楼
南稍门 电梯小洋房 标准1室 诚心出售,景致雅居 ,南稍门,48,"9,457",1室1厅,50.76平米,西南,其他,低,24,暂无数据
二环内 太白立交 交通便利 地段繁华 适合陪读,白庙小区 ,城西,60,"8,184",3室1厅,73.32平米,南 北,其他,高,7,板楼
李家村地铁口45平小户型有证无抵押 繁华地段 急售,李家村万达广场 ,李家村,52,"11,407",1室0厅,45.59平米,北,其他,低,30,板塔结合
业主自住房  保持很好 交通方便 教育便利,东泰城市之光北区 ,黄雁村,276,"25,261",3室2厅,109.26平米,南 西南 西,其他,高,33,塔楼
好房来袭二环内主城精装大四室中间楼层,荣城 ,南稍门,235,"16,832",4室1厅,139.62平米,南 北,其他,中,27,板塔结合
李家村万达广场 办公自用 可按揭 诚心售,李家村万达广场 ,李家村,128,"11,287",1室1厅,113.41平米,东,其他,高,27,板塔结合
九锦台 温馨一室 近省人民医院 看房方便 价格可谈诚售,九锦台 ,黄雁村,72,"17,070",1室0厅,42.18平米,东,简装,中,30,板塔结合
文艺路地铁口 五号线 2012年小区 金色城市 精装两室,金色城市 ,南稍门,146,"15,983",2室2厅,91.35平米,东南,精装,中,27,塔楼
东泰城市之光北区、两梯四户稀有楼。不占用,东泰城市之光北区 ,黄雁村,298,"25,927",3室1厅,114.94平米,南 北,其他,中,33,塔楼
1%个税 1%契税 1%土地出让金  看房方便,中通二局南院 ,黄雁村,58,"8,298",2室1厅,69.9平米,南,其他,高,7,板楼
中间楼层，采光视野好。生活便利。,绿地乐和城 ,李家村,64,"12,530",1室0厅,51.08平米,东北,精装,高,32,塔楼
SKP旁，二号线永宁门站，小区位置和品质好,宏信国际花园 ,南稍门,205,"18,556",2室2厅,110.48平米,南,毛坯,中,24,板塔结合
文艺路十字 地铁口  泰华世纪新城 大三室 采光好,泰华世纪新城1期 ,李家村,206.8,"14,733",3室2厅,140.37平米,南,其他,中,30,板塔结合
此房满三满二，格局南北通透，配套齐全，交通便利,佳和苑 ,南稍门,108.8,"10,360",2室2厅,105.02平米,南 北,简装,中,7,板塔结合
交通便利两室一厅 东北朝向  简装  电梯房,都市凰庭 ,黄雁村,136.5,"14,230",2室2厅,95.93平米,东 北,其他,中,22,板塔结合
二环内品质小区 高绿化 闹中取静 双地铁,荣城 ,南稍门,220,"16,691",3室1厅,131.81平米,南 北,精装,低,27,板楼
文艺南路单位房 产证在手 随时签约,文艺南路6号院 ,南稍门,57,"8,767",2室1厅,65.02平米,南,其他,高,6,板楼
李家村地铁四号线五号线门口。三建家属院，停车方便,安东街社区陕三建小区 ,李家村,53,"9,574",2室1厅,55.36平米,南,简装,高,7,板楼
南稍门 双地铁交汇，纯南两室业主靠谱诚心出售,荣城 ,南稍门,143,"16,005",2室2厅,89.35平米,东南,精装,低,27,板塔结合
此房产权清晰，满三满二，精装修，直观长安大学,学院国际 ,李家村,110,"13,038",2室1厅,84.37平米,西北,其他,中,34,塔楼
双地铁，采光好，李家村双地铁口300米,友谊小区 ,李家村,68,"8,869",2室1厅,76.68平米,南 北,其他,中,7,板楼
南稍门地铁口 摩登主场 一室一厅 双气地暖 可按揭,摩登主场 ,南稍门,64.8,"13,517",1室1厅,47.94平米,西,精装,低,18,板塔结合
满三满二，诚心出售，次新小区，,怡兰星空 ,黄雁村,172,"12,072",3室2厅,142.49平米,南 西南,其他,中,20,塔楼
小两居  诚心出售  人民医院,怡兰星空 ,黄雁村,79,"11,635",2室1厅,67.9平米,西,简装,低,28,塔楼
朱雀门里保吉巷小区，两室采光好，商圈成熟，出行便利,保吉巷小区 ,城内,53,"9,302",2室1厅,56.98平米,东南,简装,高,7,板楼
产权清晰、无抵押、诚心出售、价位可谈、随时可签,白金广场小区 ,南稍门,93,"8,441",3室2厅,110.18平米,南 北,其他,高,7,板楼
雁塔路地铁口 李家村万达楼上两室双气朝南 随时过户,李家村万达广场 ,李家村,95,"11,228",2室2厅,84.61平米,南,精装,低,30,板塔结合
馨雅园，一室精装修，低楼层，交大门口，近地铁,馨雅园 ,城东,51,"10,466",1室1厅,48.73平米,北,其他,低,31,板塔结合
交通便利两室一厅 东北朝向  简装  电梯房,都市凰庭 ,黄雁村,136.5,"14,230",2室2厅,95.93平米,东 北,其他,中,22,板塔结合
环城公园 和平门4号线 长庆矿区家属院小三室 可按揭,长庆矿区事业部西仪综合服务处住宅楼 ,李家村,113,"12,847",3室1厅,87.96平米,南 北,其他,低,15,暂无数据
文艺南路单位房 产证在手 随时签约,文艺南路6号院 ,南稍门,57,"8,767",2室1厅,65.02平米,南,其他,高,6,板楼
主城区的商品房，离东大街和环城公园,县门北街32号 ,城内,60,"7,972",2室1厅,75.27平米,南 北,其他,中,7,暂无数据
二环边近地铁，成熟小区，精装修保养的好，诚心出售,含光北路2号 ,黄雁村,173,"11,145",3室2厅,155.23平米,南 北,其他,中,7,板楼
南稍门双地铁  翡翠明珠 两室  双阳台  业主诚心出售,翡翠明珠 ,南稍门,140,"14,935",2室1厅,93.74平米,西,其他,高,33,塔楼
南门外  小户型   交通方便,珠江时代广场 ,南稍门,48,"12,177",1室0厅,39.42平米,东,精装,中,15,塔楼
李家村地铁四号线五号线门口。三建家属院，停车方便,安东街社区陕三建小区 ,李家村,53,"9,574",2室1厅,55.36平米,南,简装,高,7,板楼
南稍门 双地铁交汇，纯南两室业主靠谱诚心出售,荣城 ,南稍门,143,"16,005",2室2厅,89.35平米,东南,精装,低,27,板塔结合
南二环 太白立交  精装  大两室,盛龙广场太白苑 ,黄雁村,97,"10,016",2室2厅,96.85平米,东北,其他,2,29,塔楼
西工大旁精装修，户型方正，楼层好，采光充足,伊顿公馆西区 ,城西,398,"28,478",3室2厅,139.76平米,东南 南,其他,中,34,板塔结合
工大旁  大两室 精装 诚心卖,金仕雅筑 ,城西,122,"13,610",2室2厅,89.64平米,西,其他,中,32,塔楼
水文巷大南正对门的电梯房！稀有2014年的高层！,水文巷1号 ,黄雁村,145,"15,874",2室2厅,91.35平米,西,其他,2,26,塔楼
文艺路十字   三室精装修  有证可按揭  随时看房,泰华世纪新城Ⅱ ,李家村,185,"16,163",3室1厅,114.46平米,西南,其他,低,31,板塔结合
成熟繁华地段，满5满2，免交增值税，70年产权,李家村万达广场 ,李家村,47,"10,984",1室0厅,42.79平米,西,其他,高,29,板塔结合
二环内品质小区 高绿化 闹中取静 双地铁,荣城 ,南稍门,220,"16,691",3室1厅,131.81平米,南 北,精装,低,27,板楼
体育场地铁口 太古里 音乐学院 长安大街三号,长安大街3号 ,南稍门,68,"10,861",1室0厅,62.61平米,东,精装,低,33,塔楼
此房产权清晰，满三满二，精装修，直观长安大学,学院国际 ,李家村,110,"13,038",2室1厅,84.37平米,西北,其他,中,34,塔楼
此房满三满二，业主诚意售，属于南门板块，户型单一,和平大道 ,城内,53,"9,557",1室1厅,55.46平米,南,其他,低,9,塔楼
李家村万达建东街海联小区两室南北通透有证可按揭,海联北区 ,李家村,78,"9,896",2室1厅,78.82平米,南 北,其他,高,7,板塔结合
业主诚心出售 配套齐全 生活便利,光大巷3号 ,黄雁村,59,"7,087",2室2厅,83.26平米,南 北,其他,高,7,板楼
兴庆公园北门 东方星座 两室 明厨明卫,东方星座 ,城东,92,"10,728",2室1厅,85.76平米,北,其他,中,30,板塔结合
园林社区.精装三室，诚心出售，满三满二，,九锦台 ,黄雁村,370,"22,437",3室2厅,164.91平米,南 北,其他,高,18,板楼
满5 钟楼小区 电梯房 诚心出售 单位家属院 双气,钟楼小区 ,城内,119,"9,427",2室2厅,126.24平米,南 北,简装,高,12,板塔结合
城南鑫苑 2室 西南朝向 采光视野好,城南鑫苑 ,南稍门,116,"13,372",2室2厅,86.75平米,西南,简装,高,19,板塔结合
南稍门一室开间 交通便利 配套齐全,城南鑫苑 ,南稍门,62,"11,518",1室0厅,53.83平米,西,其他,低,19,板塔结合
南稍门地铁口   园林绿化  标准两室 户型方正,翡翠明珠 ,南稍门,145,"15,578",2室2厅,93.08平米,东,其他,低,33,板塔结合
长安大学旁 学院国际 一室大开间  文艺路地铁口,学院国际 ,李家村,49,"12,093",1室0厅,40.52平米,北,精装,低,34,塔楼
本房满二满三。南北通透，明厨明卫，采光好,西荷安置楼 ,黄雁村,63,"9,601",2室1厅,65.62平米,南 北,其他,6,6,板楼
2号线5号线双地铁 标准一室一厅 太古里旁,长安壹栋 ,南稍门,63,"11,872",1室1厅,53.07平米,北,精装,3,33,塔楼
满三满二 产证在手 一室精装婚房 看房随时,绿地乐和城 ,李家村,66.3,"11,679",1室1厅,56.77平米,东,其他,高,30,塔楼
南二环金腰带，交通便利，医疗成熟，精装自住房,天伦御城龙脉刘家庄小区 ,城东,100,"11,491",2室1厅,87.03平米,北,其他,高,32,塔楼
二环内 凯德广场旁 精装修 诚心出售,九锦台 ,黄雁村,375,"22,518",3室2厅,166.54平米,南 北,简装,高,16,板楼
永宁门外 双地铁加持 单位家属院大两居,中行振兴路小区 ,南稍门,95,"9,636",2室1厅,98.59平米,南 北,简装,中,7,暂无数据
此房户型方正，采光好，市政供暖有天然气，诚心出售,李家村万达广场 ,李家村,67,"10,881",1室0厅,61.58平米,西,其他,高,29,板塔结合
地铁五号线小区 户型方正 无遮挡视野好,东泰城市之光北区 ,黄雁村,136,"24,959",1室1厅,54.49平米,南,简装,中,32,塔楼
城墙下 有情怀 小两室 市政供暖 南北房,大车家巷5号 ,城内,72,"9,729",2室2厅,74.01平米,南 北,其他,高,6,板楼
采光较好，产权明晰，证件齐全，急售，2间小户型。,泰华金汇时代 ,城西,72,"8,632",2室1厅,83.42平米,西,其他,2,28,板塔结合
省体育场 地铁口 长安壹栋 一室 诚心出售,长安壹栋 ,南稍门,63,"11,778",1室1厅,53.49平米,西,精装,3,33,塔楼
体育场地铁口 嘉怡豪庭 两室全明户型 满三满二可按揭,嘉怡豪庭 ,南稍门,113,"12,721",2室2厅,88.83平米,东,精装,中,32,板塔结合
南门外优质小区环境好物业好停车方便小雁塔,金泉小区 ,南稍门,230,"19,575",3室2厅,117.5平米,东 南 西 北,其他,低,26,板塔结合
翡翠明珠，地铁口，满五精装4室好房,翡翠明珠 ,南稍门,200,"16,283",4室2厅,122.83平米,南 北,精装,中,30,板塔结合
双地铁口，秋林公司，单位家属院。,西安话剧院小区 ,李家村,125,"12,231",2室2厅,102.2平米,东 西,简装,中,12,暂无数据
南二环 体育场 小雁塔 凯德广场 花卉市场 风华路,军工南院 ,黄雁村,150,"12,491",3室2厅,120.09平米,南 西,简装,高,18,板楼
东泰城市之光 三室 两卫 业主诚心出售,东泰城市之光南区 ,黄雁村,260,"21,875",3室2厅,118.86平米,南 北,其他,低,32,塔楼
南稍门双地铁  翡翠明珠   两室 急售  采光视野好,翡翠明珠 ,南稍门,136,"14,503",2室1厅,93.78平米,东,其他,高,33,板塔结合
九锦台 温馨一室 近省人民医院 看房方便 价格可谈诚售,九锦台 ,黄雁村,72,"17,070",1室0厅,42.18平米,东,简装,中,30,板塔结合
此房诚心卖   有证  26  建国路,先锋巷12号院 ,城内,65,"11,519",2室1厅,56.43平米,南,其他,高,6,暂无数据
南二环 教育厅家属院 两室一卫 公摊小,教育厅家属院 ,黄雁村,91,"11,974",2室1厅,76平米,南,简装,中,7,暂无数据
单位家属院，大两室南北通透 房东诚心出售,西安勘察测绘家属院 ,李家村,83,"11,135",2室1厅,74.54平米,南 北,其他,高,6,板楼
二环内 太白立交 交通便利 地段繁华 适合陪读,白庙小区 ,城西,60,"8,184",3室1厅,73.32平米,南 北,其他,高,7,板楼
和平门地铁口，两室两厅，诚心出售，产权清晰。,环城南路东段28号 ,李家村,107,"11,179",2室2厅,95.72平米,南 北,简装,中,7,板楼
大学南路小.学旁   户型方正  诚心出售，价格可谈,东泰城市之光南区 ,黄雁村,152,"24,906",2室1厅,61.03平米,北,简装,中,32,塔楼
南稍门 太古里精装大三居  诚心出售,翡翠明珠 ,南稍门,189,"14,272",3室2厅,132.43平米,西南,精装,中,33,板塔结合
白庙小区  三室南北通透  精装   价位可谈,白庙小区 ,城西,68,"9,773",3室1厅,69.58平米,南 北,其他,高,7,板楼
房子是南北通透 户型方正 房东诚心出售 出门地铁口,东新花园（城东） ,城东,105,"9,679",3室2厅,108.49平米,南 北,简装,低,7,板楼
总价低             刚需小两室,中富新村 ,李家村,62,"9,548",2室1厅,64.94平米,南,其他,高,6,板楼
兴庆公园，湖景房，精装修，户型好,兴庆宫 ,城东,260,"18,569",3室2厅,140.02平米,南,精装,高,33,板塔结合
老城区 三室 南北通透 采光好 有房产证,省农行家属院 ,城内,78.8,"8,858",3室1厅,88.96平米,南 北,其他,高,6,暂无数据
庆公园旁，标准两室两厅，生活便利，交通方便公园围绕,柿园坊小区西区 ,城东,57,"8,197",2室1厅,69.54平米,东 西,毛坯,高,7,板楼
朱雀门外一室一厅一卫，北向好房,枫绿国际住宅小区 ,黄雁村,85,"13,234",1室1厅,64.23平米,北,精装,中,34,塔楼
5号线地铁口 西工大旁  户型方正 价格合理 诚心出售,白庙小区 ,城西,72,"13,182",2室1厅,54.62平米,南 北,其他,低,7,板楼
地铁口  房子满3满二，产证在手，随时可交易,御溪书院 ,城西,80,"13,894",2室1厅,57.58平米,西北,其他,高,31,塔楼
西工大，周 边交通便利，生活设施齐备，采光好,嘉禾公馆 ,城西,148,"13,170",2室2厅,112.38平米,西北,其他,低,29,板塔结合
西工大，地铁边，大唐西市，配套齐全出行便利,西雅图翡翠城 ,城西,159,"18,627",2室1厅,85.36平米,西南,其他,高,26,塔楼
小南门外单位家属院·······,省建行朱雀路家属院 ,南稍门,123,"10,215",2室1厅,120.42平米,西南,其他,低,20,板塔结合
小雁塔、太古里单位家属院、产证在售,陕安朱雀佳苑 ,黄雁村,108,"13,152",2室1厅,82.12平米,南 北,其他,高,6,板楼
建国路 二十六中 地铁口小高层 采光无遮挡产权清晰,榕园公寓 ,城内,104,"12,003",2室1厅,86.65平米,西,其他,中,13,塔楼
大雁塔 一公里  精装修 业主  满五 业主诚心出售,绿地乐和城 ,李家村,47,"9,843",1室1厅,47.75平米,北,其他,高,30,塔楼
北院住宅区1-1-1-1 42.48m² 41 万,北院住宅区 ,黄雁村,41,"9,652",1室1厅,42.48平米,南,其他,高,5,暂无数据
省体育场地铁 绿化好 优质2居室,长安大街3号 ,南稍门,87.5,"12,556",2室2厅,69.69平米,东 南,简装,中,33,板塔结合
朱雀门里 小两室 高楼层 业主诚心出售 有燃气,芦荡巷小区 ,城内,38,"7,754",2室1厅,49.01平米,南,简装,高,7,暂无数据
长安大街3号 1室0厅 东,长安大街3号 ,南稍门,63,"10,988",1室0厅,57.34平米,东,精装,低,31,板塔结合
二环边星币传说两室毛坯诚心出售,高山流水星币传说 ,城东,168,"19,866",2室2厅,84.57平米,南,其他,中,32,板塔结合
精装多层两室 满三满二 业主诚心出售,电信小区(长安北路) ,南稍门,70,"10,820",2室1厅,64.7平米,西,其他,高,6,暂无数据
6号线大唐西市站100米三室，可自住可陪读,西雅图翡翠城 ,城西,143,"15,465",3室1厅,92.47平米,东南,其他,中,28,板塔结合
南二环雁塔北路赛格电脑城李家村建大旁一室诚心卖,绿地乐和城 ,李家村,58,"10,023",1室1厅,57.87平米,西,其他,高,30,塔楼
业主诚心出售  看上房子价格可以谈。,更新小区 ,城东,125,"9,243",3室2厅,135.24平米,南 北,其他,低,7,板楼
长乐公园地铁口 互助路 德鑫园两室南北通透  诚心出售,德鑫园小区 ,城东,75,"7,127",2室2厅,105.24平米,南 北,其他,高,7,板楼
东门外 地铁6号线 长乐门 精装2房 产权清晰 急售房,东方星苑 ,城东,90,"10,533",2室1厅,85.45平米,东,精装,高,31,板塔结合
丰庆路大唐西市 两室朝南 中间楼层 近地铁,西雅图翡翠城 ,城西,135,"14,600",2室2厅,92.47平米,东南,其他,高,28,板塔结合
地铁6号线 兴庆宫环城公园双公园 电梯房 东南 采光好,古迹岭小区 ,城东,76,"9,639",2室1厅,78.85平米,东南,精装,中,23,塔楼
东门外 地铁6号线 烟草局家属院  三室全明诚心出售.,烟草局家属院 ,城东,77.8,"8,761",3室1厅,88.81平米,南 北,简装,高,7,板楼
新兴IN之家  小高层两梯四户  24小时热水 闹中取静,新兴IN之家 ,城东,149,"13,901",2室2厅,107.19平米,东南,简装,高,13,板塔结合
5号线地铁口 文小旁 新艺城 两室精装 房子保持好,新艺城 ,李家村,89.5,"11,307",2室1厅,79.16平米,西,其他,中,23,塔楼
新旅城 花园小区 一室一厅  可按揭 满三,新旅城 ,李家村,86,"16,612",1室1厅,51.77平米,西,精装,低,32,板塔结合
此房产权为70年住宅，满三满二，交通便利，配套齐全,李家村万达广场 ,李家村,102,"11,971",2室2厅,85.21平米,南,其他,中,29,板塔结合
地铁口 李家村 万达广场 一栋 大开间 精装出售,李家村万达广场 ,李家村,73,"11,855",1室0厅,61.58平米,西,精装,高,29,板塔结合
环城公园 和平门4号线 长庆矿区家属院小三室 可按揭,长庆矿区事业部西仪综合服务处住宅楼 ,李家村,113,"12,847",3室1厅,87.96平米,南 北,其他,低,15,暂无数据
二环内品质小区 高绿化 闹中取静 双地铁,荣城 ,南稍门,220,"16,691",3室1厅,131.81平米,南 北,精装,低,27,板楼
文艺南路单位房 产证在手 随时签约,文艺南路6号院 ,南稍门,57,"8,767",2室1厅,65.02平米,南,其他,高,6,板楼
工大旁  大两室 精装 诚心卖,金仕雅筑 ,城西,122,"13,610",2室2厅,89.64平米,西,其他,中,32,塔楼
李家村万达建东街海联小区两室南北通透有证可按揭,海联北区 ,李家村,78,"9,896",2室1厅,78.82平米,南 北,其他,高,7,板塔结合
此房满三满二，业主诚意售，属于南门板块，户型单一,和平大道 ,城内,53,"9,557",1室1厅,55.46平米,南,其他,低,9,塔楼
西工大旁精装修，户型方正，楼层好，采光充足,伊顿公馆西区 ,城西,398,"28,478",3室2厅,139.76平米,东南 南,其他,中,34,板塔结合
交通便利两室一厅 东北朝向  简装  电梯房,都市凰庭 ,黄雁村,136.5,"14,230",2室2厅,95.93平米,东 北,其他,中,22,板塔结合
南二环 太白立交  精装  大两室,盛龙广场太白苑 ,黄雁村,97,"10,016",2室2厅,96.85平米,东北,其他,2,29,塔楼
水文巷大南正对门的电梯房！稀有2014年的高层！,水文巷1号 ,黄雁村,145,"15,874",2室2厅,91.35平米,西,其他,2,26,塔楼
东门外 地铁6号线 烟草局家属院  三室全明诚心出售.,烟草局家属院 ,城东,77.8,"8,761",3室1厅,88.81平米,南 北,简装,高,7,板楼
长乐公园地铁口 互助路 德鑫园两室南北通透  诚心出售,德鑫园小区 ,城东,75,"7,127",2室2厅,105.24平米,南 北,其他,高,7,板楼
新兴IN之家  小高层两梯四户  24小时热水 闹中取静,新兴IN之家 ,城东,149,"13,901",2室2厅,107.19平米,东南,简装,高,13,板塔结合
房源满三满二，没有增值税，采光好，近二环,自由自宅 ,李家村,110,"11,685",2室1厅,94.14平米,南,其他,低,30,板塔结合
业主诚心出售  看上房子价格可以谈。,更新小区 ,城东,125,"9,243",3室2厅,135.24平米,南 北,其他,低,7,板楼
文艺路十字地铁口 泰华标准一室一厅双气有证 随时过户,泰华世纪新城1期 ,李家村,80,"13,974",1室1厅,57.25平米,北,其他,高,30,板塔结合
南稍门 体育场 地铁口次新小区2室,长安壹栋 ,南稍门,116,"13,173",2室2厅,88.06平米,南,其他,3,33,塔楼
满三满二，业主诚心出售，户型方正 产证在手,伊顿公馆西区 ,城西,243,"25,984",2室1厅,93.52平米,东 南,其他,中,34,板塔结合
楼下双地铁口 交通便利商圈 繁华教育医疗资源丰富,李家村万达广场 ,李家村,88,"12,118",1室1厅,72.62平米,北,精装,低,29,板塔结合
南稍门  地铁口  太古里六中旁 交通便利 配套齐全,紫雁朗庭 ,南稍门,130,"14,691",2室1厅,88.49平米,东北,精装,中,27,塔楼
南门外    小户型   交通便利,珠江时代广场 ,南稍门,68,"13,421",1室0厅,50.67平米,西,其他,高,15,塔楼
房子楼层好 位置好 南北通透 地铁口 4号线 5号线,瓦窑小区 ,李家村,85,"10,342",2室2厅,82.19平米,南 北,其他,低,6,板楼
南稍门地铁口 翡翠明珠 一室朝南 大阳台 户型方正,翡翠明珠 ,南稍门,78,"14,159",1室0厅,55.09平米,南,其他,中,30,板塔结合
西安市碑林区长安北路体育场地铁口恒佳尊者汇出售房源,恒佳尊者汇 ,南稍门,54,"11,924",1室1厅,45.29平米,西 南,简装,高,23,板塔结合
诚心出售。。。。。。。。。。。,省人民医院家属院 ,黄雁村,95,"12,884",2室1厅,73.74平米,北,其他,高,16,塔楼
南稍门地铁口 摩登主场 一室一厅 双气地暖 可按揭,摩登主场 ,南稍门,64.8,"13,517",1室1厅,47.94平米,西,精装,低,18,板塔结合
南稍门地铁口城南鑫苑1室开间精装双气地暖有证可按揭,城南鑫苑 ,南稍门,61,"11,332",1室0厅,53.83平米,西,精装,中,19,板塔结合
